name,type,phone,address,website,map_url,rating,review_count
Unison Property Management,Property management company,+1 403-219-3000,· ,https://www.unisonpropertymanagement.ca/?utm_source=Google&utm_medium=GMB,https://www.google.com/maps/place/Unison+Property+Management/data=!4m7!3m6!1s0x5371705762e66f1b:0xb28ec9a795441528!8m2!3d51.0031281!4d-114.0666478!16s%2Fg%2F1tff78sh!19sChIJG2_mYldwcVMRKBVElafJjrI?authuser=0&hl=en&rclk=1,4.5,443
Citysearch Rental Network Inc.,Property management company,+1 403-777-1770,· ,https://www.citysearchcalgary.com/,https://www.google.com/maps/place/Citysearch+Rental+Network+Inc./data=!4m7!3m6!1s0x53717002ad3257d3:0x11de9dea1702c9c!8m2!3d51.0349152!4d-114.0721563!16s%2Fg%2F1tg_ws4k!19sChIJ01cyrQJwcVMRnCxwod7pHQE?authuser=0&hl=en&rclk=1,4.5,558
Davies Property Management,Property management company,+1 780-484-2866,· 10114 156 St NW #203,http://www.daviesmanagement.com/,https://www.google.com/maps/place/Davies+Property+Management/data=!4m7!3m6!1s0x53a020de31b66649:0xde9fce2a11632085!8m2!3d53.5419624!4d-113.5906179!16s%2Fg%2F1tdwvcj1!19sChIJSWa2Md4goFMRhSBjESrOn94?authuser=0&hl=en&rclk=1,4.1,564
Race Real Estate Inc,Property management company,(888) 866-8848,· 200 Carnegie Dr #200,http://www.racerealestate.com/,https://www.google.com/maps/place/Race+Real+Estate+Inc/data=!4m7!3m6!1s0x53a0241a78c1265b:0x55ff19a9da8df87b!8m2!3d53.6367879!4d-113.573974!16s%2Fg%2F11ddzszhwh!19sChIJWybBeBokoFMRe_iN2qkZ_1U?authuser=0&hl=en&rclk=1,4.5,110
FirstService Residential Edmonton,Property management company,+1 403-299-1810,· ,https://www.fsresidential.com/alberta/offices/edmonton,https://www.google.com/maps/place/FirstService+Residential+Edmonton/data=!4m7!3m6!1s0x53a018cd0edfa933:0xa71aa7359852c8c4!8m2!3d53.49269!4d-113.49578!16s%2Fg%2F1pp2v07nn!19sChIJM6nfDs0YoFMRxMhSmDWnGqc?authuser=0&hl=en&rclk=1,3.8,163
Briere Property Management,Property management company,+1 403-465-0404,· 4550 112 Ave SE #8,http://www.brierepm.com/,https://www.google.com/maps/place/Briere+Property+Management/data=!4m7!3m6!1s0x53717059e857ad55:0x64c4b746b18e457f!8m2!3d50.9521067!4d-113.9705489!16s%2Fg%2F11fz34t7js!19sChIJVa1X6FlwcVMRf0WOsUa3xGQ?authuser=0&hl=en&rclk=1,4.9,99
Ripple Property Management Calgary & Edmonton,Property management company,+1 587-317-0837,· 4034 16 St SW,https://www.ripplecalgary.com/,https://www.google.com/maps/place/Ripple+Property+Management+Calgary+%26+Edmonton/data=!4m7!3m6!1s0x5371702031e04be5:0x72b9751013cf20dd!8m2!3d51.0183562!4d-114.1002581!16s%2Fg%2F11ffl_f2pb!19sChIJ5UvgMSBwcVMR3SDPExB1uXI?authuser=0&hl=en&rclk=1,4.7,295
RE/MAX Rental Advisors,Property management company,+1 780-757-3700,· ,https://rentaladvisors.ca/,https://www.google.com/maps/place/RE%2FMAX+Rental+Advisors/data=!4m7!3m6!1s0x53a0210e6150f651:0x3b77c00d3817379a!8m2!3d53.4925918!4d-113.4388426!16s%2Fg%2F1hc30nqtm!19sChIJUfZQYQ4hoFMRmjcXOA3Adzs?authuser=0&hl=en&rclk=1,4.3,831
Real Living Estates LTD,Property management company,+1 587-288-3737,· 12318 Barlow Trail NE Unit 105,https://reallivingestatesltd.com/,https://www.google.com/maps/place/Real+Living+Estates+LTD/data=!4m7!3m6!1s0x28289093563b2fa9:0x6ecf3bd1fccb2387!8m2!3d51.1646187!4d-113.9931674!16s%2Fg%2F11y2r8jfz8!19sChIJqS87VpOQKCgRhyPL_NE7z24?authuser=0&hl=en&rclk=1,4.8,66
Power Properties,Property management company,+1 403-509-0040,· 2308 24 St SW #7,https://www.powerproperties.net/,https://www.google.com/maps/place/Power+Properties/data=!4m7!3m6!1s0x53716e2a6107eae9:0x2555466caa7497db!8m2!3d51.0334364!4d-114.1172879!16s%2Fg%2F1tfcsx8x!19sChIJ6eoHYSpucVMR25d0qmxGVSU?authuser=0&hl=en&rclk=1,4.2,505
