name,type,phone,address,website,map_url,rating,review_count
Ground Floor Property Management,Property management company,+1 506-204-8440,· 47 Blakeny St,http://www.groundfloorpm.com/,https://www.google.com/maps/place/Ground+Floor+Property+Management/data=!4m7!3m6!1s0x4ca0b9306cbe68ff:0x65e66af556045cd6!8m2!3d46.1139352!4d-64.7695766!16s%2Fg%2F11b6__49td!19sChIJ_2i-bDC5oEwR1lwEVvVq5mU?authuser=0&hl=en&rclk=1,4.1,415
Estate Property Management | Moncton Dieppe Riverview & Surrounding Areas,Property management company,+1 902-943-0456,· 700 Main St,http://estate-property-management.ca/,https://www.google.com/maps/place/Estate+Property+Management+%7C+Moncton+Dieppe+Riverview+%26+Surrounding+Areas/data=!4m7!3m6!1s0x67fede4cce1072c3:0xac59dce459b0eac6!8m2!3d46.0886189!4d-64.7757054!16s%2Fg%2F11tp49p9nw!19sChIJw3IQzkze_mcRxuqwWeTcWaw?authuser=0&hl=en&rclk=1,4.7,45
Hub City Property Management - Moncton,Property management company,+1 506-704-5026,· 63 Park St,https://hubcitypm.ca/,https://www.google.com/maps/place/Hub+City+Property+Management+-+Moncton/data=!4m7!3m6!1s0x4b1a73ec5620c2bf:0x2a44cb0d109ee6bf!8m2!3d46.0923508!4d-64.7843138!16s%2Fg%2F11vz3y0jbr!19sChIJv8IgVuxzGksRv-aeEA3LRCo?authuser=0&hl=en&rclk=1,4.9,37
GreenLight Property Management,Property management company,(833) 321-7368,· ,http://www.rentgreenlight.com/,https://www.google.com/maps/place/GreenLight+Property+Management/data=!4m7!3m6!1s0x4ca0b8b6aa5d475f:0x23374a095ce42af5!8m2!3d46.1082347!4d-64.8245005!16s%2Fg%2F11fy4m5z1s!19sChIJX0ddqra4oEwR9SrkXAlKNyM?authuser=0&hl=en&rclk=1,4.4,112
Azena Property Management in Moncton,Property management company,+1 506-805-5050,· 581 Charline Ave,https://azena.ca/,https://www.google.com/maps/place/Azena+Property+Management+in+Moncton/data=!4m7!3m6!1s0x2415e86d227e3ef1:0xcbbf3282fe2e0e24!8m2!3d46.0767804!4d-64.7316229!16s%2Fg%2F11sr9y99xk!19sChIJ8T5-Im3oFSQRJA4u_oIyv8s?authuser=0&hl=en&rclk=1,4.8,84
Jake Black - Real Estate & Property Management,Property management company,+1 506-343-1488,· 461 St Marys St,https://jakeblack.ca/,https://www.google.com/maps/place/Jake+Black+-+Real+Estate+%26+Property+Management/data=!4m7!3m6!1s0x41709bf6519259b9:0xc7d8000884182219!8m2!3d45.9830503!4d-66.634549!16s%2Fg%2F11s787prh4!19sChIJuVmSUfabcEERGSIYhAgA2Mc?authuser=0&hl=en&rclk=1,4.9,42
Rent Central Property Management,Property management company,+1 506-588-9899,· 770 St George Blvd Suite 141,https://www.rentcentralpm.ca/,https://www.google.com/maps/place/Rent+Central+Property+Management/data=!4m7!3m6!1s0xc915fe5806c0c0d:0xcd8b8a2e5972c5e9!8m2!3d46.0843706!4d-64.8116574!16s%2Fg%2F11vjnx0cp2!19sChIJDQxsgOVfkQwR6cVyWS6Ki80?authuser=0&hl=en&rclk=1,5.0,28
Peace Of Mind Management,Property management company,+1 506-672-1094,· 75 Prince William,http://pomm.ca/,https://www.google.com/maps/place/Peace+Of+Mind+Management/data=!4m7!3m6!1s0x4ca7b37c2dab07f9:0x2df572f2094960ed!8m2!3d45.2720015!4d-66.0622625!16s%2Fg%2F1tj735rx!19sChIJ-QerLXyzp0wR7WBJCfJy9S0?authuser=0&hl=en&rclk=1,4.4,199
BCBL Property Management,Property management company,+1 506-688-8218,· 567 Coverdale Rd #13,http://www.bcblpropertymanagement.ca/,https://www.google.com/maps/place/BCBL+Property+Management/data=!4m7!3m6!1s0x854e17ec2e031353:0x3a3f8cf3d889a119!8m2!3d46.0632826!4d-64.809984!16s%2Fg%2F11pcbx33g2!19sChIJUxMDLuwXToURGaGJ2POMPzo?authuser=0&hl=en&rclk=1,5.0,7
Canada Homes For Rent,Property management company,(844) 642-2500,· 37 Hanover St,http://www.chfr.ca/,https://www.google.com/maps/place/Canada+Homes+For+Rent/data=!4m7!3m6!1s0x4ca7b3b4a89301dd:0x3631284544f84200!8m2!3d45.2820869!4d-66.0502017!16s%2Fg%2F11p779y266!19sChIJ3QGTqLSzp0wRAEL4REUoMTY?authuser=0&hl=en&rclk=1,2.3,188
