name,type,phone,address,website,map_url,rating,review_count
Greater Vancouver Tenant & Property Management Ltd.,Property management company,+1 604-398-4047,· 3771 Bartlett Ct,https://www.gvantpm.com/,https://www.google.com/maps/place/Greater+Vancouver+Tenant+%26+Property+Management+Ltd./data=!4m7!3m6!1s0x548679cf18fb4859:0xe8279f1922583d82!8m2!3d49.2499865!4d-122.8987173!16s%2Fg%2F11gjtz6bf8!19sChIJWUj7GM95hlQRgj1YIhmfJ-g?authuser=0&hl=en&rclk=1,4.6,490
Peninsula Property Management,Property management company,+1 604-536-0220,· ,https://www.rentinfo.ca/,https://www.google.com/maps/place/Peninsula+Property+Management/data=!4m7!3m6!1s0x5485c49db9e05ddb:0x3aceadc22898c4a9!8m2!3d49.03684!4d-122.801521!16s%2Fg%2F1tzzv5sj!19sChIJ213guZ3EhVQRqcSYKMKtzjo?authuser=0&hl=en&rclk=1,4.8,520
HomeLife Property Management BC,Property management company,+1 604-900-3656,· 1920 152 St #1,http://homelifepropertyrentals.ca/,https://www.google.com/maps/place/HomeLife+Property+Management+BC/data=!4m7!3m6!1s0x5485dbd6abc87609:0x9adf88227d9928da!8m2!3d49.0366695!4d-122.8009865!16s%2Fg%2F11h6dbc77j!19sChIJCXbIq9bbhVQR2iiZfSKI35o?authuser=0&hl=en&rclk=1,4.8,63
Birds Nest Properties,Property management company,+1 604-260-9955,· 2208A Spruce St,https://birdsnestproperties.ca/?utm_source=local&utm_medium=organic&utm_id=gmb&utm_campaign=gmb,https://www.google.com/maps/place/Birds+Nest+Properties/data=!4m7!3m6!1s0x548673db822162c5:0x3ccf0f366db539e!8m2!3d49.2658542!4d-123.1285933!16s%2Fg%2F11dzzhc90t!19sChIJxWIhgttzhlQRnlPbZvPwzAM?authuser=0&hl=en&rclk=1,4.7,252
Quay Pacific Property Management Ltd,Property management company,+1 604-521-0876,· 535 Front St,http://quaypacific.com/,https://www.google.com/maps/place/Quay+Pacific+Property+Management+Ltd/data=!4m7!3m6!1s0x5485d86dbe33faa3:0xf84a9454373bbeec!8m2!3d49.2031128!4d-122.9070125!16s%2Fg%2F1tdbqkkm!19sChIJo_ozvm3YhVQR7L47N1SUSvg?authuser=0&hl=en&rclk=1,3.9,359
Greater Vancouver Tenant & Property Management Ltd.,Property management company,+1 604-398-4047,· 328 W Hastings St #300,http://www.gvantpm.com/,https://www.google.com/maps/place/Greater+Vancouver+Tenant+%26+Property+Management+Ltd./data=!4m7!3m6!1s0x5486714bdeb24a85:0xfd6fc427304f528f!8m2!3d49.2830194!4d-123.1105903!16s%2Fg%2F11tgbvtpmb!19sChIJhUqy3ktxhlQRj1JPMCfEb_0?authuser=0&hl=en&rclk=1,4.6,231
Dexter Property Management,Property management company,+1 604-689-8226,· 1399 Homer St,http://dexterpm.ca/,https://www.google.com/maps/place/Dexter+Property+Management/data=!4m7!3m6!1s0x548673d11e70ecf3:0x3ff4f30b4cb19d3c!8m2!3d49.2734588!4d-123.1259863!16s%2Fg%2F11c0qf_jyq!19sChIJ8-xwHtFzhlQRPJ2xTAvz9D8?authuser=0&hl=en&rclk=1,5.0,39
Vada Property Management,Property management company,+1 604-736-6478,· ,https://vadapm.com/,https://www.google.com/maps/place/Vada+Property+Management/data=!4m7!3m6!1s0x548673d6ef23c585:0x6bf11e98ad59fc1a!8m2!3d49.2659055!4d-123.0102525!16s%2Fg%2F1tddxg7c!19sChIJhcUj79ZzhlQRGvxZrZge8Ws?authuser=0&hl=en&rclk=1,4.5,288
FirstService Residential Vancouver,Property management company,(855) 683-8900,· ,https://www.fsresidential.com/british-columbia/offices/vancouver-bc,https://www.google.com/maps/place/FirstService+Residential+Vancouver/data=!4m7!3m6!1s0x410b7dc8451c3ceb:0x437a0bef37932552!8m2!3d49.2868259!4d-123.112583!16s%2Fg%2F1q6n2h1p9!19sChIJ6zwcRch9C0ERUiWTN-8LekM?authuser=0&hl=en&rclk=1,4.2,"2,459"
Fort Park,Property management company,+1 604-447-7275,· 22091 Fraserwood Way #1115,http://www.fortpark.ca/,https://www.google.com/maps/place/Fort+Park/data=!4m7!3m6!1s0x5485df34de615be3:0x42b1deab86d931a5!8m2!3d49.167619!4d-122.97564!16s%2Fg%2F11b7rtnj5w!19sChIJ41th3jTfhVQRpTHZhqvesUI?authuser=0&hl=en&rclk=1,4.9,98
Nicholls Property Management,Property management company,+1 604-749-4676,· 4289 72 St,https://www.nichollspropertymanagement.com/home,https://www.google.com/maps/place/Nicholls+Property+Management/data=!4m7!3m6!1s0x5485e7b4000899f1:0xd1fc70c605206d11!8m2!3d49.0800338!4d-123.0245359!16s%2Fg%2F11k1_bxbwj!19sChIJ8ZkIALTnhVQREW0gBcZw_NE?authuser=0&hl=en&rclk=1,5.0,15
The Matt Kuras Real Estate Team - Vancouver Property Management,Property management company,+1 778-867-9980,· ,http://www.metrovanrealty.ca/,https://www.google.com/maps/place/The+Matt+Kuras+Real+Estate+Team+-+Vancouver+Property+Management/data=!4m7!3m6!1s0x548676ab598a42bb:0x6a56a7ff6c84eabd!8m2!3d49.2683709!4d-123.1491806!16s%2Fg%2F1hc5818dw!19sChIJu0KKWat2hlQRveqEbP-nVmo?authuser=0&hl=en&rclk=1,4.9,380
Pacific West,Property management company,+1 604-685-5951,· 421 Pacific St,http://www.pacificwestpm.ca/,https://www.google.com/maps/place/Pacific+West/data=!4m7!3m6!1s0x548673d11c37345b:0xb3f9ad3f278d6baf!8m2!3d49.2733175!4d-123.1260814!16s%2Fg%2F11fxvtf8ms!19sChIJWzQ3HNFzhlQRr2uNJz-t-bM?authuser=0&hl=en&rclk=1,4.8,69
Cervantage Property Management,Property management company,+1 604-866-8707,· 20353 64 Ave #103,https://cervantagepm.com/,https://www.google.com/maps/place/Cervantage+Property+Management/data=!4m7!3m6!1s0x5485d19bba7c8f3f:0x2660d85d27b9cb7a!8m2!3d49.1193727!4d-122.6590676!16s%2Fg%2F11js46yyvb!19sChIJP498upvRhVQResu5J13YYCY?authuser=0&hl=en&rclk=1,4.9,38
Pemberton Holmes Property Management,Property management company,+1 250-478-9141,· ,http://www.thepropertymanagers.ca/,https://www.google.com/maps/place/Pemberton+Holmes+Property+Management/data=!4m7!3m6!1s0x548f739cf7bdb1c1:0x67e42ba483afb5c3!8m2!3d48.4433212!4d-123.5096655!16s%2Fg%2F1tkc6cqf!19sChIJwbG995xzj1QRw7Wvg6Qr5Gc?authuser=0&hl=en&rclk=1,4.1,203
Compass Property Management Team,Property management company,+1 604-466-2838,· 22308 Dewdney Trunk Rd,http://www.compass-properties.ca/,https://www.google.com/maps/place/Compass+Property+Management+Team/data=!4m7!3m6!1s0x5485d35fe217e7af:0x6897aae975fb3292!8m2!3d49.2202869!4d-122.6042673!16s%2Fg%2F11m__jzff2!19sChIJr-cX4l_ThVQRkjL7demql2g?authuser=0&hl=en&rclk=1,4.9,83
