name,type,phone,address,website,map_url,rating,review_count
Responsive Property Management Inc.,Property management company,+1 902-393-2263,· 111 St Peters Rd,https://www.rpminc.ca/,https://www.google.com/maps/place/Responsive+Property+Management+Inc./data=!4m7!3m6!1s0x4b5e52b94a069057:0x47c6a97193d1572a!8m2!3d46.2541382!4d-63.1212715!16s%2Fg%2F1tdxq0zt!19sChIJV5AGSrlSXksRKlfRk3Gpxkc?authuser=0&hl=en&rclk=1,4.7,18
Red Sands Property Management,Property management company,+1 902-439-8748,· 69 Belvedere Ave,https://www.redsandsproperties.ca/,https://www.google.com/maps/place/Red+Sands+Property+Management/data=!4m7!3m6!1s0x4b5e539eff658433:0xd217516da22a187d!8m2!3d46.2510818!4d-63.1438975!16s%2Fg%2F11mwhccw7g!19sChIJM4Rl_55TXksRfRgqom1RF9I?authuser=0&hl=en&rclk=1,3.3,54
KY Home Property Management,Property management company,+1 902-314-1004,· 172A Great George St,http://www.kyhomesolution.com/,https://www.google.com/maps/place/KY+Home+Property+Management/data=!4m7!3m6!1s0x668b183a4dbb8c45:0x256c73cbd5f9ba01!8m2!3d46.2366554!4d-63.1278824!16s%2Fg%2F11pcnkxnmm!19sChIJRYy7TToYi2YRAbr51ctzbCU?authuser=0&hl=en&rclk=1,4.8,42
N.C.D Property Management,Property management company,+1 902-786-0706,· 7 Linkletter Estates,http://ncdpropertymanagement.ca/,https://www.google.com/maps/place/N.C.D+Property+Management/data=!4m7!3m6!1s0x4b5f9b28d701158f:0xab3dfa652e1fe5cc!8m2!3d46.4059167!4d-63.8159849!16s%2Fg%2F11g87b1c4c!19sChIJjxUB1yibX0sRzOUfLmX6Pas?authuser=0&hl=en&rclk=1,5.0,1
Diversified Property Management,Property management company,+1 902-218-6509,· 161 St Peters Rd,https://dpms.website/,https://www.google.com/maps/place/Diversified+Property+Management/data=!4m7!3m6!1s0x4b5e53a3bdb52d21:0x4b13108518961d32!8m2!3d46.2610227!4d-63.1193559!16s%2Fg%2F1tplk9zh!19sChIJIS21vaNTXksRMh2WGIUQE0s?authuser=0&hl=en&rclk=1,4.3,6
Magnum PEI,Property management company,+1 902-394-4962,· ,http://magnum-pei.ca/,https://www.google.com/maps/place/Magnum+PEI/data=!4m7!3m6!1s0x4b5e7af44b8c9147:0x66b34862684419c9!8m2!3d46.077786!4d-62.465904!16s%2Fg%2F11d_2lrqvk!19sChIJR5GMS_R6XksRyRlEaGJIs2Y?authuser=0&hl=en&rclk=1,4.7,12
MV Property Services,Property management company,+1 902-918-2223,· 120 Gillespie Ave,https://mvpropertyservices.ca/,https://www.google.com/maps/place/MV+Property+Services/data=!4m7!3m6!1s0x616e13201bba7555:0xdc2f1c933758d74f!8m2!3d46.39913!4d-63.76349!16s%2Fg%2F11vj3c1rtc!19sChIJVXW6GyATbmERT9dYN5McL9w?authuser=0&hl=en&rclk=1,5.0,14
Apartment Management Services,Apartment rental agency,+1 902-393-0307,· 957 Brackley Point Rd,https://www.amspei.net/,https://www.google.com/maps/place/Apartment+Management+Services/data=!4m7!3m6!1s0x4b5fb31352f6a3c5:0x1e6ad897e632ebbe!8m2!3d46.3266032!4d-63.1561996!16s%2Fg%2F11fd45j8pp!19sChIJxaP2UhOzX0sRvusy5pfYah4?authuser=0&hl=en&rclk=1,4.2,5
Island Assets Property Management Limited,Property management company,+1 902-214-2492,· 647 Sixth St,https://www.islandassets.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=15578719660878752882,https://www.google.com/maps/place/Island+Assets+Property+Management+Limited/data=!4m7!3m6!1s0x8883e4c8abaaa297:0x9dc6e902fa12434b!8m2!3d46.4365606!4d-63.8234082!16s%2Fg%2F11x7xn7fw9!19sChIJl6Kqq8jkg4gRS0MS-gLpxp0?authuser=0&hl=en&rclk=1,5.0,1
Lanlord Property & Apartment Management PEI,Property management company,+1 902-629-0285,· 111 St Peters Rd,https://angel-rodriguez.c21.ca/,https://www.google.com/maps/place/Lanlord+Property+%26+Apartment+Management+PEI/data=!4m7!3m6!1s0x4b5fb3e3318420bb:0x61dd234cc4451420!8m2!3d46.2541257!4d-63.1212807!16s%2Fg%2F11j7z5076w!19sChIJuyCEMeOzX0sRIBRFxEwj3WE?authuser=0&hl=en&rclk=1,N/A,N/A
ArCo Property Management,Property management company,+1 902-940-4473,· 2787 Horne Cross Rd W,http://arcopro.ca/,https://www.google.com/maps/place/ArCo+Property+Management/data=!4m7!3m6!1s0x4b5fb246e2401c65:0x7942a210cd70efe1!8m2!3d46.31365!4d-63.18019!16s%2Fg%2F11vr6s1tbp!19sChIJZRxA4kayX0sR4e9wzRCiQnk?authuser=0&hl=en&rclk=1,N/A,N/A
APHL Inc. (formerly Atlantic Peoples Housing),Property management company,+1 902-566-4729,· 106 Kensington Rd,http://www.aphl.ca/,https://www.google.com/maps/place/APHL+Inc.+%28formerly+Atlantic+Peoples+Housing%29/data=!4m7!3m6!1s0x4b5e52ea40daab1d:0x6e99a21979599c70!8m2!3d46.2541025!4d-63.1148355!16s%2Fg%2F1tffcsk_!19sChIJHavaQOpSXksRcJxZeRmimW4?authuser=0&hl=en&rclk=1,4.3,9
Bassett's Property Management Inc.,Property management company,+1 902-393-3079,· ,http://www.bassettpm.ca/,https://www.google.com/maps/place/Bassett%27s+Property+Management+Inc./data=!4m7!3m6!1s0x32868d449f5fc23:0xd2bdd1dd8f07d757!8m2!3d46.406388!4d-63.7577073!16s%2Fg%2F11pyc396c8!19sChIJI_z1SdRoKAMRV9cHj93RvdI?authuser=0&hl=en&rclk=1,N/A,N/A
Your PEI Vacation - PEI Cottage Rentals and Property Management,Property management company,+1 902-394-0594,· 2466 Trout River Rd,https://www.yourpeivacation.com/,https://www.google.com/maps/place/Your+PEI+Vacation+-+PEI+Cottage+Rentals+and+Property+Management/data=!4m7!3m6!1s0x4b5fbe0ebefb051d:0x67bff01168ba025d!8m2!3d46.445804!4d-63.4590819!16s%2Fg%2F1tyywq21!19sChIJHQX7vg6-X0sRXQK6aBHwv2c?authuser=0&hl=en&rclk=1,5.0,5
