name,type,phone,address,website,map_url,rating,review_count
Upper Edge Property Management,Property management company,+1 204-415-6200,· 1090 Waverley St #101,https://www.winnipegpropertymanagement.ca/,https://www.google.com/maps/place/Upper+Edge+Property+Management/data=!4m7!3m6!1s0x52ea755c258a892f:0xab9a61dfc7156977!8m2!3d49.8372864!4d-97.1788145!16s%2Fg%2F11h3dd4f6t!19sChIJL4mKJVx16lIRd2kVx99hmqs?authuser=0&hl=en&rclk=1,4.0,412
Prospect Property Management,Property management company,+1 204-410-0200,· 595 Clifton St #10B,https://www.prospectmanagement.ca/,https://www.google.com/maps/place/Prospect+Property+Management/data=!4m7!3m6!1s0x52ea75ded1cf22bb:0xb87ad4479108127b!8m2!3d49.8845123!4d-97.186033!16s%2Fg%2F11p74jlf3t!19sChIJuyLP0d516lIRexIIkUfUerg?authuser=0&hl=en&rclk=1,4.8,122
Pillar Property Management Inc.,Property management company,+1 204-667-6777,· ,https://pillarmanagement.ca/,https://www.google.com/maps/place/Pillar+Property+Management+Inc./data=!4m7!3m6!1s0x52ea724fe0fc8e21:0x98d70fbca81f8a7f!8m2!3d49.8923773!4d-97.2124227!16s%2Fg%2F1v9lbfh5!19sChIJIY784E9y6lIRf4ofqLwP15g?authuser=0&hl=en&rclk=1,4.1,181
Globe Property Management,Property management company,+1 204-956-2233,· ,https://www.globepm.ca/,https://www.google.com/maps/place/Globe+Property+Management/data=!4m7!3m6!1s0x52ea737de315ccf7:0x582216209f49386!8m2!3d49.8782084!4d-97.2022468!16s%2Fg%2F12hkmqw61!19sChIJ98wV431z6lIRhpP0CWIhggU?authuser=0&hl=en&rclk=1,3.3,305
Canopy mgmt Property Managers,Property management company,+1 204-500-2847,· 750 Marion St #102,https://canopymgmt.ca/,https://www.google.com/maps/place/Canopy+mgmt+Property+Managers/data=!4m7!3m6!1s0x52ea710981ab3cd9:0xa277e795915f54a4!8m2!3d49.8809991!4d-97.0900683!16s%2Fg%2F11hzgnj17p!19sChIJ2TyrgQlx6lIRpFRfkZXnd6I?authuser=0&hl=en&rclk=1,4.5,115
RealPlace Property Management Ltd.,Property management company,+1 431-294-3311,· 3311 Roblin Blvd,N/A,https://www.google.com/maps/place/RealPlace+Property+Management+Ltd./data=!4m7!3m6!1s0x52ea0bef5d9b5a07:0x43913ac6a6f9b987!8m2!3d49.8685083!4d-97.2555457!16s%2Fg%2F11pckv2w_h!19sChIJB1qbXe8L6lIRh7n5psY6kUM?authuser=0&hl=en&rclk=1,5.0,14
Thorwin Properties,Property management company,+1 204-222-2422,· 1274 Archibald St,https://www.thorwin.ca/,https://www.google.com/maps/place/Thorwin+Properties/data=!4m7!3m6!1s0x52ea77c6194075ff:0x2a239f8d2546d6e0!8m2!3d49.857947!4d-97.0860207!16s%2Fg%2F11qywd3_hg!19sChIJ_3VAGcZ36lIR4NZGJY2fIyo?authuser=0&hl=en&rclk=1,4.4,372
Imperial Properties,Property management company,+1 204-272-8799,· 283 Bannatyne Ave Unit 200,http://www.imperialproperties.ca/,https://www.google.com/maps/place/Imperial+Properties/data=!4m7!3m6!1s0x52ea7406d4a482d9:0x7385bef443c5006b!8m2!3d49.8984842!4d-97.1412977!16s%2Fg%2F1tfh49q5!19sChIJ2YKk1AZ06lIRawDFQ_S-hXM?authuser=0&hl=en&rclk=1,4.2,137
MacReal Property Management,Property management company,+1 204-951-6371,· 93 Lombard Ave #210,http://macrealpropertymanagement.ca/,https://www.google.com/maps/place/MacReal+Property+Management/data=!4m7!3m6!1s0x52ea7144eb3fffff:0x7e94beb6a269cfe6!8m2!3d49.8957435!4d-97.1340581!16s%2Fg%2F11t4d_l0_5!19sChIJ__8_60Rx6lIR5s9pora-lH4?authuser=0&hl=en&rclk=1,5.0,4
Karma Property Management Ltd.,Property management company,+1 204-415-5712,· 671 Pembina Hwy,https://karmaproperties.ca/,https://www.google.com/maps/place/Karma+Property+Management+Ltd./data=!4m7!3m6!1s0x52ea759d80e7d70d:0x8ccf6c98bf5e317a!8m2!3d49.8613039!4d-97.1501644!16s%2Fg%2F11ssqhrfc7!19sChIJDdfngJ116lIRejFev5hsz4w?authuser=0&hl=en&rclk=1,3.5,100
