name,category,phone,address,website,map_url,rating,review_count
Willbii Inc.,5.0,(626) 808-8766,· 2158 Huntington Drive,/aclk?sa=l&ai=DChcSEwisi6bFtbCNAxU2ckECHXRMBSYYABABGgJ3cw&co=1&ase=2&gclid=EAIaIQobChMIrIumxbWwjQMVNnJBAh10TAUmEBAYASAAEgJu4vD_BwE&category=acrcp_v1_0&sig=AOD64_2b2tjjFiD5d0eQbNgHii7c3ZeUKw&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/Willbii+Inc./data=!4m7!3m6!1s0x80c2db35f2c21349:0xdf5342922d436d60!8m2!3d34.121227!4d-118.106814!16s%2Fg%2F11c508s_bj!19sChIJSRPC8jXbwoARYG1DLZJCU98?authuser=0&hl=en&rclk=1,5.0,20
C-Oliveira Design,4.7,(213) 357-2151,· 3415 South Sepulveda Boulevard,/aclk?sa=l&ai=DChcSEwisi6bFtbCNAxU2ckECHXRMBSYYABAAGgJ3cw&co=1&ase=2&gclid=EAIaIQobChMIrIumxbWwjQMVNnJBAh10TAUmEBAYAiAAEgKFdPD_BwE&category=acrcp_v1_0&sig=AOD64_1XnUTaILAqQsTv0UDWgjcseB1kcw&adurl&q&ctype=99&nis=6,https://www.google.com/maps/place/C-Oliveira+Design/data=!4m7!3m6!1s0x80c2bf592d68cf0d:0xff9c5d0d488363ca!8m2!3d34.020514!4d-118.424206!16s%2Fg%2F11h3jtqr_y!19sChIJDc9oLVm_woARymODSA1dnP8?authuser=0&hl=en&rclk=1,4.7,15
Joel & Co. Construction,4.8,+1 310-728-6181,· ,https://losangelesgeneralcontractor.com/,https://www.google.com/maps/place/Joel+%26+Co.+Construction/data=!4m7!3m6!1s0x80c2bca07b4d8547:0x67bf1923f6dcd271!8m2!3d34.0539575!4d-118.4655012!16s%2Fg%2F1hhw07585!19sChIJR4VNe6C8woARcdLc9iMZv2c?authuser=0&hl=en&rclk=1,4.8,78
Coronado Construction Company INC,4.9,+1 323-363-1794,· ,https://coronadoconstructionco.com/,https://www.google.com/maps/place/Coronado+Construction+Company+INC/data=!4m7!3m6!1s0x80c2c5e02be8725f:0x154fa3a845e9c3ac!8m2!3d34.0931842!4d-118.1629853!16s%2Fg%2F11q7b7swsc!19sChIJX3LoK-DFwoARrMPpRaijTxU?authuser=0&hl=en&rclk=1,4.9,95
Advanced Builders & Contractors,4.9,+1 310-889-0500,· ,https://www.abclosangeles.com/,https://www.google.com/maps/place/Advanced+Builders+%26+Contractors/data=!4m7!3m6!1s0x80c2bb7e2c5fc627:0xad572e850fe6de69!8m2!3d34.05865!4d-118.443136!16s%2Fg%2F11c1qmtj4q!19sChIJJ8ZfLH67woARad7mD4UuV60?authuser=0&hl=en&rclk=1,4.9,69
Cali Builders & Construction Inc.,4.9,+1 800-863-0011,· ,https://cali-builders.com/,https://www.google.com/maps/place/Cali+Builders+%26+Construction+Inc./data=!4m7!3m6!1s0x80c29762878d2fc9:0x73fccb4ec7b4bdf4!8m2!3d34.152948!4d-118.462717!16s%2Fg%2F11fjs55_24!19sChIJyS-Nh2KXwoAR9L20x07L_HM?authuser=0&hl=en&rclk=1,4.9,104
We The People Construction,4.8,+1 213-319-5224,· ,https://wtpconstruction.com/?utm_campaign=gmb,https://www.google.com/maps/place/We+The+People+Construction/data=!4m7!3m6!1s0x80c2d30a8b8c4319:0x6ee5c518cc20f2ae!8m2!3d34.0879412!4d-118.3086715!16s%2Fg%2F11ngph2bz8!19sChIJGUOMiwrTwoARrvIgzBjF5W4?authuser=0&hl=en&rclk=1,4.8,106
"Oasis Builders, Inc.",5.0,+1 310-425-3057,· ,https://oasisbuildersinc.com/,"https://www.google.com/maps/place/Oasis+Builders,+Inc./data=!4m7!3m6!1s0x80c2bbc3e8e01f7b:0x6533f73a6217c3a6!8m2!3d34.0357522!4d-118.4441018!16s%2Fg%2F11h0vr3fzc!19sChIJex_g6MO7woARpsMXYjr3M2U?authuser=0&hl=en&rclk=1",5.0,39
GCLA - General Contractor Los Angeles,4.8,+1 310-907-7749,· ,https://www.generalcontractorlosangeles.org/,https://www.google.com/maps/place/GCLA+-+General+Contractor+Los+Angeles/data=!4m7!3m6!1s0x80c2a4cd907bc7f5:0xa7f7caeab8b505fc!8m2!3d34.017248!4d-118.490074!16s%2Fg%2F11g8yff0jz!19sChIJ9cd7kM2kwoAR_AW1uOrK96c?authuser=0&hl=en&rclk=1,4.8,11
LA United Construction,5.0,+1 760-953-5148,· 1226 W 109th St,https://launitedconstruction.com/,https://www.google.com/maps/place/LA+United+Construction/data=!4m7!3m6!1s0x80c2c9d012ad9a25:0x14c2a578db4f6806!8m2!3d33.9369685!4d-118.2972658!16s%2Fg%2F11y1zvdlzl!19sChIJJZqtEtDJwoARBmhP23ilwhQ?authuser=0&hl=en&rclk=1,5.0,62
