name,type,phone,address,website,map_url,rating,review_count
Real Canadian Property Management Professionals Inc.,Property management company,+1 306-244-7276,· 3335 Unit D Wells Ave,https://professionals.realpm.ca/,https://www.google.com/maps/place/Real+Canadian+Property+Management+Professionals+Inc./data=!4m7!3m6!1s0x5304f689ee323c71:0xe5621c868cd75a1!8m2!3d52.1858814!4d-106.6490958!16s%2Fg%2F11b77fjvm4!19sChIJcTwy7on2BFMRoXXNaMghVg4?authuser=0&hl=en&rclk=1,4.2,198
Citysearch Rental Network Inc.,Property management company,+1 403-777-1770,· ,https://www.citysearchcalgary.com/,https://www.google.com/maps/place/Citysearch+Rental+Network+Inc./data=!4m7!3m6!1s0x53717002ad3257d3:0x11de9dea1702c9c!8m2!3d51.0349152!4d-114.0721563!16s%2Fg%2F1tg_ws4k!19sChIJ01cyrQJwcVMRnCxwod7pHQE?authuser=0&hl=en&rclk=1,4.5,558
Property Management Toronto,Property management company,+1 416-451-9499,· 457 Richmond St W Unit 100,http://www.propertymanagementto.com/,https://www.google.com/maps/place/Property+Management+Toronto/data=!4m7!3m6!1s0x89d4cb3265188591:0x30f32044dd1b9927!8m2!3d43.6475472!4d-79.397422!16s%2Fg%2F12617l11x!19sChIJkYUYZTLL1IkRJ5kb3UQg8zA?authuser=0&hl=en&rclk=1,4.2,302
ICC Property Management Toronto,Property management company,+1 647-559-4322,· ,https://iccpropertymanagement.com/markham/,https://www.google.com/maps/place/ICC+Property+Management+Toronto/data=!4m7!3m6!1s0x89d4d470f4a2d7c7:0x1b30fe525b57b375!8m2!3d43.8302693!4d-79.3561154!16s%2Fg%2F1q62n5dqg!19sChIJx9ei9HDU1IkRdbNXW1L-MBs?authuser=0&hl=en&rclk=1,4.0,478
Royal York Property Management - Brampton,Property management company,+1 289-748-2998,· ,https://royalyorkpropertymanagement.ca/brampton-owners,https://www.google.com/maps/place/Royal+York+Property+Management+-+Brampton/data=!4m7!3m6!1s0x882b3f71eeb2fd9d:0xa459cbf15461950a!8m2!3d43.6841072!4d-79.7623222!16s%2Fg%2F11qntwc2rb!19sChIJnf2y7nE_K4gRCpVhVPHLWaQ?authuser=0&hl=en&rclk=1,4.6,498
Royal York Property Management - London,Property management company,+1 226-777-6095,· 151 York St Unit B,https://royalyorkpropertymanagement.ca/london-owners,https://www.google.com/maps/place/Royal+York+Property+Management+-+London/data=!4m7!3m6!1s0x882ef3bb078edff5:0xa21c648bd27ec939!8m2!3d42.9809!4d-81.2492!16s%2Fg%2F11tjn03lr7!19sChIJ9d-OB7vzLogROcl-0otkHKI?authuser=0&hl=en&rclk=1,4.7,343
Emerald Management & Realty Ltd,Property management company,+1 403-237-8600,· ,https://www.emeraldmanagement.com/,https://www.google.com/maps/place/Emerald+Management+%26+Realty+Ltd/data=!4m7!3m6!1s0x53716fe0af8f512b:0x567f50db1ac973cc!8m2!3d51.04428!4d-114.0860386!16s%2Fg%2F1tczk4fn!19sChIJK1GPr-BvcVMRzHPJGttQf1Y?authuser=0&hl=en&rclk=1,3.9,636
Royal York Property Management - North American HQ,Property management company,(833) 666-3306,· ,http://www.royalyorkpropertymanagement.ca/,https://www.google.com/maps/place/Royal+York+Property+Management+-+North+American+HQ/data=!4m7!3m6!1s0x89d4cdb5501a7987:0x8bfac4836cbbc81f!8m2!3d43.7185581!4d-79.3374875!16s%2Fg%2F11tsmd1h3b!19sChIJh3kaULXN1IkRH8i7bIPE-os?authuser=0&hl=en&rclk=1,4.4,"1,450"
Property Management Partners,Property management company,+1 416-642-1404,· 3048A Bloor St W Unit 1,https://service.realpm.ca/,https://www.google.com/maps/place/Property+Management+Partners/data=!4m7!3m6!1s0x882b365481a2437b:0x8560d98b1d9af669!8m2!3d43.647171!4d-79.5128707!16s%2Fg%2F1vq9mxyq!19sChIJe0OigVQ2K4gRafaaHYvZYIU?authuser=0&hl=en&rclk=1,4.2,416
Royal York Property Management - Hamilton,Property management company,+1 289-678-1743,· ,https://royalyorkpropertymanagement.ca/Hamilton-owners/,https://www.google.com/maps/place/Royal+York+Property+Management+-+Hamilton/data=!4m7!3m6!1s0x882c9b59a31a7659:0xc28be686dd585088!8m2!3d43.2537753!4d-79.86954!16s%2Fg%2F11qn7fg1v2!19sChIJWXYao1mbLIgRiFBY3Ybmi8I?authuser=0&hl=en&rclk=1,4.4,262
