name,type,phone,address,website,map_url,rating,review_count
TreePad Property Management,Property management company,+1 902-210-9894,"· Park Place II, 238A Brownlow Ave Suite 102",http://treepad.ca/,https://www.google.com/maps/place/TreePad+Property+Management/data=!4m7!3m6!1s0x4b5a21d281738f01:0x34e0519c8b3ffb9a!8m2!3d44.6941317!4d-63.5797466!16s%2Fg%2F11gxrw843l!19sChIJAY9zgdIhWksRmvs_i5xR4DQ?authuser=0&hl=en&rclk=1,4.5,70
Target Properties,Property management company,+1 902-329-4146,· 659 Lucasville Rd,http://www.targetproperties.ca/,https://www.google.com/maps/place/Target+Properties/data=!4m7!3m6!1s0x4b598715a0a9baa9:0x15257f4cfcea7eb!8m2!3d44.7604771!4d-63.72699!16s%2Fg%2F11q1sj_l28!19sChIJqbqpoBWHWUsR66fOz_RXUgE?authuser=0&hl=en&rclk=1,5.0,33
Happy Place Property Management,Property management company,+1 902-220-5666,· 92 Ochterloney St,http://www.happyplacepm.com/,https://www.google.com/maps/place/Happy+Place+Property+Management/data=!4m7!3m6!1s0x4b5a23a55908e23d:0xaeb76cb003de3f97!8m2!3d44.6678685!4d-63.566724!16s%2Fg%2F11r5jz1qd1!19sChIJPeIIWaUjWksRlz_eA7Bst64?authuser=0&hl=en&rclk=1,4.5,59
DaVinci Property Management,Property management company,+1 902-700-5998,· 2717 Gladstone St,https://www.davincipropertymanagement.ca/,https://www.google.com/maps/place/DaVinci+Property+Management/data=!4m7!3m6!1s0x4b5a21a2bc529d83:0x8baa901921c8a090!8m2!3d44.6546102!4d-63.5995937!16s%2Fg%2F11flmx2v4p!19sChIJg51SvKIhWksRkKDIIRmQqos?authuser=0&hl=en&rclk=1,5.0,15
Giopros Nova Scotia Property Management - Gio Property Managers Halifax Nova Scotia,Property management company,+1 782-234-7948,· 222 Waterfront Dr #106,https://www.giopros.com/,https://www.google.com/maps/place/Giopros+Nova+Scotia+Property+Management+-+Gio+Property+Managers+Halifax+Nova+Scotia/data=!4m7!3m6!1s0x4b5989c18484091d:0xac8d7d39de495467!8m2!3d44.714914!4d-63.6734891!16s%2Fg%2F11wwhh312t!19sChIJHQmEhMGJWUsRZ1RJ3jl9jaw?authuser=0&hl=en&rclk=1,4.8,53
HostOften Property Management,Property management company,+1 902-593-0200,· 2242 Maitland St,http://www.hostoften.com/,https://www.google.com/maps/place/HostOften+Property+Management/data=!4m7!3m6!1s0x4b5a23d68a0477bf:0x3a02721efdddeb17!8m2!3d44.6532418!4d-63.5839753!16s%2Fg%2F11f_kn328x!19sChIJv3cEitYjWksRF-vd_R5yAjo?authuser=0&hl=en&rclk=1,4.5,25
Over Sea Real Estate Management,Property management company,(866) 890-4920,· 6061 Willow St,https://oversea.ca/,https://www.google.com/maps/place/Over+Sea+Real+Estate+Management/data=!4m7!3m6!1s0x4b5a2194fb9ec013:0x349e76d224a8a279!8m2!3d44.6533755!4d-63.5955304!16s%2Fg%2F11cpnj4kfn!19sChIJE8Ce-5QhWksReaKoJNJ2njQ?authuser=0&hl=en&rclk=1,4.5,50
City Centre Property Management,Property management company,+1 902-453-6707,· 50 Bedford Hwy suite 300,http://www.ccpmgroup.ca/,https://www.google.com/maps/place/City+Centre+Property+Management/data=!4m7!3m6!1s0x4b5a216be58782f1:0xc87ce2f5dea3d07f!8m2!3d44.664286!4d-63.63565!16s%2Fg%2F11b5wppksl!19sChIJ8YKH5WshWksRf9Cj3vXifMg?authuser=0&hl=en&rclk=1,2.8,107
Paramount Management,Property management company,+1 902-423-9916,· ,https://paramountmanagement.ca/,https://www.google.com/maps/place/Paramount+Management/data=!4m7!3m6!1s0x4b5a2235e6313ecb:0x45cbbc880e536a31!8m2!3d44.6409492!4d-63.5706184!16s%2Fg%2F1tdp017s!19sChIJyz4x5jUiWksRMWpTDoi8y0U?authuser=0&hl=en&rclk=1,4.5,39
Casa Scotia Host and Management Ltd,Property management company,+1 902-707-0329,· 647 Bedford Hwy suite 101,https://casascotia.com/,https://www.google.com/maps/place/Casa+Scotia+Host+and+Management+Ltd/data=!4m7!3m6!1s0x45acbd9d217bf12b:0xd0fd965cc089f516!8m2!3d44.6999827!4d-63.6606241!16s%2Fg%2F11wfktwp0y!19sChIJK_F7IZ29rEURFvWJwFyW_dA?authuser=0&hl=en&rclk=1,5.0,19
"Alisha Caillie-Fleet- Realty in Halifax, Nova Scotia",Real estate agency,+1 902-489-4911,"· Purdy's Wharf Tower 1, 1959 Upper Water St",https://www.halifaxareahomesforsale.com/,"https://www.google.com/maps/place/Alisha+Caillie-Fleet-+Realty+in+Halifax,+Nova+Scotia/data=!4m7!3m6!1s0x4b5a31f572535ad5:0x5a311d7c7d5762c1!8m2!3d44.6516997!4d-63.5741644!16s%2Fg%2F11rq8dzkyr!19sChIJ1VpTcvUxWksRwWJXfXwdMVo?authuser=0&hl=en&rclk=1",5.0,101
Ansell Property Management,Property management company,+1 902-999-4463,"· Suite B01, 156 Ochterloney St",https://www.ansellproperties.ca/,https://www.google.com/maps/place/Ansell+Property+Management/data=!4m7!3m6!1s0x4b5a23e5875111df:0xe9659f8d1fc30391!8m2!3d44.6699577!4d-63.5641234!16s%2Fg%2F11fz24144m!19sChIJ3xFRh-UjWksRkQPDH42fZek?authuser=0&hl=en&rclk=1,3.3,54
Page Property Management,Property management company,+1 902-466-6686,· 7071 Bayers Rd Suite 4007,https://pagepm.ca/,https://www.google.com/maps/place/Page+Property+Management/data=!4m7!3m6!1s0x4b5a21a40931de91:0x6222f107a9055423!8m2!3d44.6558793!4d-63.6258569!16s%2Fg%2F1tfgn_9p!19sChIJkd4xCaQhWksRI1QFqQfxImI?authuser=0&hl=en&rclk=1,4.6,16
"JDE Property Management, Inc.",Property management company,+1 902-580-4381,· 99 Wyse Rd Suite 1166,https://www.jdepropertymgt.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10172167744212899586,"https://www.google.com/maps/place/JDE+Property+Management,+Inc./data=!4m7!3m6!1s0x4b5a21954234b9fb:0x41dc9d0d544f7109!8m2!3d44.6690534!4d-63.5765902!16s%2Fg%2F11k0m05cf8!19sChIJ-7k0QpUhWksRCXFPVA2d3EE?authuser=0&hl=en&rclk=1",4.2,21
VDL Property Management Ltd,Property management company,+1 902-299-9900,· 419 Kearney Lake Rd Suite 613,http://www.letsrent.ca/,https://www.google.com/maps/place/VDL+Property+Management+Ltd/data=!4m7!3m6!1s0x4b598969b87f49cf:0x7635084edd972e5d!8m2!3d44.6982859!4d-63.698714!16s%2Fg%2F11h_xhdl3b!19sChIJz0l_uGmJWUsRXS6X3U4INXY?authuser=0&hl=en&rclk=1,5.0,1
Best There Is Property Management Inc,Property management company,+1 902-990-0128,· 482 Glen Allan Dr,http://www.bestthereis.ca/,https://www.google.com/maps/place/Best+There+Is+Property+Management+Inc/data=!4m7!3m6!1s0x4b576741995be1fb:0x213c792d6845c704!8m2!3d44.3778664!4d-64.5022186!16s%2Fg%2F11w370ps1l!19sChIJ--FbmUFnV0sRBMdFaC15PCE?authuser=0&hl=en&rclk=1,5.0,2
Halifax Quality Homes Ltd,Property management company,+1 902-445-4952,· 246 Bedford Hwy,https://www.halifaxqualityhomes.com/,https://www.google.com/maps/place/Halifax+Quality+Homes+Ltd/data=!4m7!3m6!1s0x4b5a20ee5e35dcf7:0x9812598163961908!8m2!3d44.6769917!4d-63.6491878!16s%2Fg%2F1tjcp0nv!19sChIJ99w1Xu4gWksRCBmWY4FZEpg?authuser=0&hl=en&rclk=1,3.7,83
