name,type,phone,address,website,map_url,rating,review_count
Gestion Immobilière Lafrance & Mathieu Inc,Property management company,+1 418-626-5500,· ,https://lafrance-mathieu.com/,https://www.google.com/maps/place/Gestion+Immobili%C3%A8re+Lafrance+%26+Mathieu+Inc/data=!4m7!3m6!1s0x4cb897ec28fc440f:0xb5e2a0b9c18cfa59!8m2!3d46.8363742!4d-71.2949958!16s%2Fg%2F1tjgp5xv!19sChIJD0T8KOyXuEwRWfqMwbmg4rU?authuser=0&hl=en&rclk=1,4.1,421
Agrasoy Realty Property Management and Leasing,Property management company,+1 514-476-7281,· 2700 Rue Rufus-Rockhead Suite: 101,https://www.agrasoyrealty.com/,https://www.google.com/maps/place/Agrasoy+Realty+Property+Management+and+Leasing/data=!4m7!3m6!1s0x4cc91b5ef51b77c3:0xaa41346b2eb05089!8m2!3d45.4797671!4d-73.5749928!16s%2Fg%2F11fnpbnt4n!19sChIJw3cb9V4byUwRiVCwLms0Qao?authuser=0&hl=en&rclk=1,4.4,78
Egan Courtier Immobilier Agréé,Real estate agency,+1 418-683-4403,· 12 Rue des Jardins-Mérici #902,https://www.egan.qc.ca/,https://www.google.com/maps/place/Egan+Courtier+Immobilier+Agr%C3%A9%C3%A9/data=!4m7!3m6!1s0x4cb895df56105031:0xedfbbbadf0382178!8m2!3d46.7941516!4d-71.232172!16s%2Fg%2F1xtf153k!19sChIJMVAQVt-VuEwReCE48K27--0?authuser=0&hl=en&rclk=1,5.0,72
MSI Gestion Immobiliere,Property management company,+1 418-681-7888,· 960 Raoul-Jobin St,https://www.msimmobiliers.com/,https://www.google.com/maps/place/MSI+Gestion+Immobiliere/data=!4m7!3m6!1s0x4cb896e58ece4bdb:0x5dab9320d4621ebb!8m2!3d46.8051252!4d-71.2489773!16s%2Fg%2F1tdp96sn!19sChIJ20vOjuWWuEwRux5i1CCTq10?authuser=0&hl=en&rclk=1,3.0,521
Logisbourg Inc,Property management company,+1 418-623-4006,· 955 Rue Fernand Dufour suite 100,https://www.logisbourg.com/,https://www.google.com/maps/place/Logisbourg+Inc/data=!4m7!3m6!1s0x4cb897b978f2a0d1:0x61954c029eedc4d9!8m2!3d46.8242392!4d-71.2837067!16s%2Fg%2F1tl4cmw4!19sChIJ0aDyeLmXuEwR2cTtngJMlWE?authuser=0&hl=en&rclk=1,4.5,332
Agrasoy Realty,Property management company,+1 514-476-7281,· 630 Rue William #825,https://agrasoyrealty.com/,https://www.google.com/maps/place/Agrasoy+Realty/data=!4m7!3m6!1s0x4cc9165e892fd507:0xe0fc9cb57601c9e!8m2!3d45.4992501!4d-73.5562928!16s%2Fg%2F11b6cfvt6v!19sChIJB9UviV4WyUwRnhxgV8vJDw4?authuser=0&hl=en&rclk=1,4.5,138
"Gestion immobilière Gestipro | Location, condo, logement et appartement à Québec",Property management company,+1 418-522-2525,· ,http://www.gestipro.info/,"https://www.google.com/maps/place/Gestion+immobili%C3%A8re+Gestipro+%7C+Location,+condo,+logement+et+appartement+%C3%A0+Qu%C3%A9bec/data=!4m7!3m6!1s0x4cb89626a2a16297:0x2696f49f5242f048!8m2!3d46.8240055!4d-71.2425306!16s%2Fg%2F11b5wldrhv!19sChIJl2KhoiaWuEwRSPBCUp_0liY?authuser=0&hl=en&rclk=1",4.6,675
Impact Gestion Immobiliere,Property management company,+1 418-573-9085,· 1255 Bd Lebourgneuf,http://www.impactgestion.com/,https://www.google.com/maps/place/Impact+Gestion+Immobiliere/data=!4m7!3m6!1s0x4cb897ec3b0e4907:0xb374c47d51d1b84!8m2!3d46.8356024!4d-71.2952095!16s%2Fg%2F1tfp21l2!19sChIJB0kOO-yXuEwRhBsd1UdMNws?authuser=0&hl=en&rclk=1,4.7,72
Société immobilière Bélanger,Property management company,+1 418-871-7788,· ,https://www.sibelanger.com/,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+immobili%C3%A8re+B%C3%A9langer/data=!4m7!3m6!1s0x4cb8982f19014ab7:0x34969988c56a28e1!8m2!3d46.8289438!4d-71.2789091!16s%2Fg%2F11f3q84ff4!19sChIJt0oBGS-YuEwR4ShqxYiZljQ?authuser=0&hl=en&rclk=1,4.7,301
BnbCopilote | Location touristique,Property management company,+1 418-800-2217,· 139 Rue Saint-Pierre,http://www.bnbcopilote.ca/,https://www.google.com/maps/place/BnbCopilote+%7C+Location+touristique/data=!4m7!3m6!1s0x4cb897343a69c149:0x8affc8ae1921332a!8m2!3d46.8164496!4d-71.2037215!16s%2Fg%2F11h0803xwp!19sChIJScFpOjSXuEwRKjMhGa7I_4o?authuser=0&hl=en&rclk=1,4.9,361
