name,type,phone,address,website,map_url,rating,review_count
Property Management Toronto,Property management company,(416) 451-9499,· 457 Richmond St W Unit 100,http://www.propertymanagementto.com/,https://www.google.com/maps/place/Property+Management+Toronto/data=!4m7!3m6!1s0x89d4cb3265188591:0x30f32044dd1b9927!8m2!3d43.6475472!4d-79.397422!16s%2Fg%2F12617l11x!19sChIJkYUYZTLL1IkRJ5kb3UQg8zA?authuser=0&hl=en&rclk=1,4.2,302
Royal York Property Management - North American HQ,Property management company,+1 833-666-3306,· ,http://www.royalyorkpropertymanagement.ca/,https://www.google.com/maps/place/Royal+York+Property+Management+-+North+American+HQ/data=!4m7!3m6!1s0x89d4cdb5501a7987:0x8bfac4836cbbc81f!8m2!3d43.7185581!4d-79.3374875!16s%2Fg%2F11tsmd1h3b!19sChIJh3kaULXN1IkRH8i7bIPE-os?authuser=0&hl=en&rclk=1,4.4,"1,450"
Park Place Properties,Property management company,(647) 930-0892,· 20 Maud St Unit #301,https://parkpl.co/toronto,https://www.google.com/maps/place/Park+Place+Properties/data=!4m7!3m6!1s0x882b359b2afba0b7:0x98e612a659d5a7fa!8m2!3d43.6464254!4d-79.4000034!16s%2Fg%2F11gy78cx78!19sChIJt6D7Kps1K4gR-qfVWaYS5pg?authuser=0&hl=en&rclk=1,4.9,82
Property Management Partners,Property management company,(416) 642-1404,· 3048A Bloor St W Unit 1,https://service.realpm.ca/,https://www.google.com/maps/place/Property+Management+Partners/data=!4m7!3m6!1s0x882b365481a2437b:0x8560d98b1d9af669!8m2!3d43.647171!4d-79.5128707!16s%2Fg%2F1vq9mxyq!19sChIJe0OigVQ2K4gRafaaHYvZYIU?authuser=0&hl=en&rclk=1,4.2,416
Buttonwood Property Management,Property management company,(416) 835-7191,· 2 St Clair Ave W 18th Floor,https://buttonwood.ca/?utm_source=Google&utm_medium=GMB&utm_campaign=Map,https://www.google.com/maps/place/Buttonwood+Property+Management/data=!4m7!3m6!1s0x882b3527ffbca785:0xe225974622225f02!8m2!3d43.6883013!4d-79.3946163!16s%2Fg%2F1ydpvbp30!19sChIJhae8_yc1K4gRAl8iIkaXJeI?authuser=0&hl=en&rclk=1,4.9,99
Diamond Property Management Group,Property management company,(647) 680-7892,· 1 King St W Suite 4800-42,http://www.dpmg.ca/,https://www.google.com/maps/place/Diamond+Property+Management+Group/data=!4m7!3m6!1s0x89d4cb9d5d39e0b9:0xc6d5ca0b009b7624!8m2!3d43.6488576!4d-79.3781453!16s%2Fg%2F11jbmglrw2!19sChIJueA5XZ3L1IkRJHabAAvK1cY?authuser=0&hl=en&rclk=1,4.8,22
Guestable,Property management company,(647) 490-0471,· 270 Adelaide St W,https://www.guestable.com/airbnb-management-toronto/,https://www.google.com/maps/place/Guestable/data=!4m7!3m6!1s0x882b34d7235cf181:0x4a3c2e0bbaf13267!8m2!3d43.6479818!4d-79.3900862!16s%2Fg%2F11f3xw2d9n!19sChIJgfFcI9c0K4gRZzLxugsuPEo?authuser=0&hl=en&rclk=1,4.7,425
ICC Property Management Toronto,Property management company,(647) 559-4322,· ,https://iccpropertymanagement.com/markham/,https://www.google.com/maps/place/ICC+Property+Management+Toronto/data=!4m7!3m6!1s0x89d4d470f4a2d7c7:0x1b30fe525b57b375!8m2!3d43.8302693!4d-79.3561154!16s%2Fg%2F1q62n5dqg!19sChIJx9ei9HDU1IkRdbNXW1L-MBs?authuser=0&hl=en&rclk=1,4.0,478
Goldview Property Management,Property management company,(416) 630-1234,· 51 Toro Rd,http://www.goldview.ca/,https://www.google.com/maps/place/Goldview+Property+Management/data=!4m7!3m6!1s0x882b31e24ca0339d:0xefc7ea9a026eafa2!8m2!3d43.7606024!4d-79.4850693!16s%2Fg%2F1hc2d0pd9!19sChIJnTOgTOIxK4gRoq9uAprqx-8?authuser=0&hl=en&rclk=1,4.6,428
LandLord Property & Rental Management Inc.,Property management company,(416) 462-3800,· ,https://landlord.net/,https://www.google.com/maps/place/LandLord+Property+%26+Rental+Management+Inc./data=!4m7!3m6!1s0x882b34ae5f634b85:0xe3fe4bb541b2ac59!8m2!3d43.6680654!4d-79.3453499!16s%2Fg%2F113jwwz8j!19sChIJhUtjX640K4gRWayyQbVL_uM?authuser=0&hl=en&rclk=1,4.5,269
